,0
0,0.144
1,0.128
2,0.158
3,0.152
4,0.154
5,0.144
6,0.162
7,0.162
8,0.138
9,0.148
10,0.164
11,0.146
12,0.144
13,0.158
14,0.168
15,0.154
16,0.136
17,0.144
18,0.162
19,0.154
20,0.12
21,0.148
22,0.158
23,0.154
24,0.128
25,0.142
26,0.168
27,0.152
28,0.118
29,0.148
30,0.16
31,0.148
